,utterance,request,importance
5752,discontent service submit consumer complaint,complaint,standard_priority
5753,understand talk human,contact_human_agent,standard_priority
5754,id like information changing fucking order,change_order,medium_priority
5755,tell download invoice,get_invoice,medium_priority
5756,please wan na know could create two online accounts email address,create_account,high_priority
5757,try check status refund,track_refund,standard_priority
5758,know report issue payments,payment_issue,standard_priority
5759,trying check status order,track_order,standard_priority
5760,want view statu refund,track_refund,high_priority
5761,tell wht email address contact client service,contact_customer_service,medium_priority
5762,hewlp use different user account,switch_account,high_priority
5763,need help checking cancellation fees,check_cancellation_fee,medium_priority
5764,want information help talk customer service,contact_customer_service,medium_priority
5765,lost password u help,recover_password,high_priority
5766,help deleting account,delete_account,medium_priority
5767,concert postponed want request reimbursement,get_refund,standard_priority
5768,obtain fucking reimbursement,get_refund,standard_priority
5769,check invoice,check_invoice,medium_priority
5770,got error attempted make payment charged anyway wan na inform,payment_issue,high_priority
5771,get money back,get_refund,medium_priority
5772,trying file complaint business,complaint,standard_priority
5773,need information call client service,contact_customer_service,standard_priority
5774,ask agent view payment options,check_payment_methods,high_priority
5775,want information speak customer support,contact_customer_service,high_priority
5776,got error attempted make payment card charged anyway want report,payment_issue,high_priority
5777,interested reimbursement polivy,check_refund_policy,standard_priority
5778,want know refund processed,track_refund,standard_priority
5779,want change profile,edit_account,standard_priority
5780,ca understand talk someone,contact_human_agent,standard_priority
5781,got error message attempted pay charged anyway inform,payment_issue,standard_priority
5782,issues changing shipping address,change_shipping_address,medium_priority
5783,ordered product change order,change_order,standard_priority
5784,know get invoices,get_invoice,standard_priority
5785,help check delivery going arrive,delivery_period,medium_priority
5786,show early exit penalty,check_cancellation_fee,medium_priority
5787,ask agent inform problems paying,payment_issue,high_priority
5788,make changes shipping address,change_shipping_address,medium_priority
5789,happy service need help lodging comment,review,high_priority
5790,help reset pwd account,recover_password,medium_priority
5791,want know could register several online accounts single email please,create_account,high_priority
5792,happy service need help filing review please,review,standard_priority
5793,issue paying card inform,payment_issue,high_priority
5794,contact customer service,contact_customer_service,medium_priority
5795,want unsubscribe newsletter need help,newsletter_subscription,standard_priority
5796,could check payment methods accept,check_payment_methods,medium_priority
5797,ask agent view cancellation penalties,check_cancellation_fee,high_priority
5798,want view reimbursement policy,check_refund_policy,high_priority
5799,ask agent contact customer support,contact_customer_service,medium_priority
5800,get invoices last purchase,get_invoice,medium_priority
5801,newsletter receive,newsletter_subscription,medium_priority
5802,know get refund,get_refund,standard_priority
5803,want open online account u help,create_account,high_priority
5804,get refunds money,get_refund,standard_priority
5805,receive invoices check,check_invoices,standard_priority
5806,ell know orders,track_order,standard_priority
5807,need help get invoices last month,get_invoice,standard_priority
5808,want check invoices,check_invoices,standard_priority
5809,lost invoices view,check_invoices,standard_priority
5810,want inform payment issue,payment_issue,standard_priority
5811,know could delete account,delete_account,standard_priority
5812,show delivery period,delivery_period,medium_priority
5813,u ask agent ese aninvoice,get_invoice,high_priority
5814,ordered something modify purchase,change_order,high_priority
5815,know change shipping address,change_shipping_address,standard_priority
5816,please could ask agent inform fucking problems making payment,payment_issue,medium_priority
5817,need information help talk client service,contact_customer_service,medium_priority
5818,know change shipping address,change_shipping_address,standard_priority
5819,changed mind close account,delete_account,standard_priority
5820,online account hacked recover,recover_password,standard_priority
5821,want send email client service,contact_customer_service,high_priority
5822,submit feedback services,review,medium_priority
5823,know track order,track_order,standard_priority
5824,talk client service,contact_customer_service,medium_priority
5825,got error message tried pay ubt charged anyway infrm,payment_issue,standard_priority
5826,got error attempted make payment charged anyway inform,payment_issue,standard_priority
5827,want ot update address,change_shipping_address,medium_priority
5828,find information cancelling order,cancel_order,medium_priority
5829,want know check delivery,track_order,standard_priority
5830,inform problem payment,payment_issue,medium_priority
5831,want know create two online accounts email,create_account,standard_priority
5832,view status reimbursemernt,track_refund,medium_priority
5833,issue paying card like report,payment_issue,standard_priority
5834,problem paying order notify,payment_issue,standard_priority
5835,want ask infofmation getting invoice,get_invoice,standard_priority
5836,could ask agent delete fucking account please,delete_account,medium_priority
5837,want help registration,registration_problems,medium_priority
5838,dont understand could u contact human agent,contact_human_agent,high_priority
5839,got error tried make payment card charged anyway report,payment_issue,standard_priority
5840,please could ask agent could retrieve password,recover_password,high_priority
5841,understand talk someone,contact_human_agent,standard_priority
5842,want inform problem making payment,payment_issue,medium_priority
5843,want check cancellation fees,check_cancellation_fee,standard_priority
5844,could ask agent change purchase please,change_order,medium_priority
5845,ask agent send email client service,contact_customer_service,high_priority
5846,changed mind close online account,delete_account,standard_priority
5847,id like inform problem making payment,payment_issue,high_priority
5848,event cancelled want request reimbursement,get_refund,standard_priority
5849,leave opinion,review,medium_priority
5850,know check status order,track_order,standard_priority
5851,u ask agent request invoice,get_invoice,high_priority
5852,happy service make consumer complaint,complaint,standard_priority
5853,speak human agent,contact_human_agent,medium_priority
5854,discontent service submit complaint,complaint,standard_priority
5855,switching another account,switch_account,medium_priority
5856,helping speak person,contact_human_agent,standard_priority
5857,ask agent track shipments,track_order,medium_priority
5858,tell register two online accounts email address,create_account,medium_priority
5859,tell get full refund case cancel tickets,check_refund_policy,standard_priority
5860,speak client service,contact_customer_service,medium_priority
5861,check payment methods available,check_payment_methods,medium_priority
5862,wan na know free number client service,contact_customer_service,high_priority
5863,ask agent get bills,get_invoice,medium_priority
5864,possible track packages,track_order,medium_priority
5865,ask agent view status reimbursement,track_refund,high_priority
5866,please mind asking agent see invoice,get_invoice,medium_priority
5867,question termination account,delete_account,high_priority
5868,lodge consumer complaint,complaint,medium_priority
5869,please wan na know could request fucking bills,get_invoice,high_priority
5870,helping need help speaking human,contact_human_agent,standard_priority
5871,wan na track purchase,track_order,high_priority
5872,send bills,get_invoice,medium_priority
5873,could u ask agent could track packages please,track_order,high_priority
5874,tell payment optins accept,check_payment_methods,medium_priority
5875,need help solving issues payments,payment_issue,medium_priority
5876,need chat live agent,contact_human_agent,high_priority
5877,event postponed get refund,get_refund,standard_priority
5878,tell tickets going arrive,delivery_period,medium_priority
5879,create prfile,create_account,medium_priority
5880,got error message tried make payment card charged anyway inform,payment_issue,standard_priority
5881,want solve problem paying could u help,payment_issue,high_priority
5882,check circumstances ask refund,check_refund_policy,standard_priority
5883,assistance check payment methods available,check_payment_methods,medium_priority
5884,recover user account access key,recover_password,medium_priority
5885,help speak someone,contact_human_agent,medium_priority
5886,want change purchase tell,change_order,standard_priority
5887,got error tried make payment card charged anyway inform,payment_issue,high_priority
5888,know report payment issues,payment_issue,standard_priority
5889,tell obtain soem invoices,get_invoice,medium_priority
5890,want see mail contact customer service,contact_customer_service,medium_priority
5891,track last order,track_order,medium_priority
5892,u ask agent see payment methods,check_payment_methods,high_priority
5893,switch user,switch_account,medium_priority
5894,want assistance solving payment issue,payment_issue,medium_priority
5895,ask agent close user account,delete_account,high_priority
5896,shipping address set,set_up_shipping_address,standard_priority
5897,try buy several item,place_order,medium_priority
5898,get money back,get_refund,standard_priority
5899,make complaint,complaint,medium_priority
5900,want know human available,contact_human_agent,standard_priority
5901,happy service make comment please,review,standard_priority
5902,report problems making payment,payment_issue,medium_priority
5903,help open user account,create_account,medium_priority
5904,trying recover passowrd account,recover_password,standard_priority
5905,want know register one fucking profile single email address please,create_account,standard_priority
5906,would like use user account change,switch_account,standard_priority
5907,would possible get invoice november,get_invoice,standard_priority
5908,want request reimbursement,get_refund,standard_priority
5909,user account need help registering,create_account,standard_priority
5910,error pops try make payment,payment_issue,high_priority
5911,purchased something modify order,change_order,standard_priority
5912,set shipping address,set_up_shipping_address,high_priority
5913,show phone contact customer support,contact_customer_service,medium_priority
5914,could leave review services,review,medium_priority
5915,leave review,review,medium_priority
5916,buy something,place_order,medium_priority
5917,possible set new shipping address,set_up_shipping_address,medium_priority
5918,ask agent notify issues paying,payment_issue,medium_priority
5919,want help speak customer service,contact_customer_service,medium_priority
5920,see delivery options,delivery_options,medium_priority
5921,know check refund policy,check_refund_policy,standard_priority
5922,user account hacked get back,recover_password,high_priority
5923,would like set new shipping address,set_up_shipping_address,standard_priority
5924,would give information forgotten passwords,recover_password,medium_priority
5925,want information changing purchase,change_order,medium_priority
5926,check item arrive,delivery_period,standard_priority
5927,tell create one account single email,create_account,high_priority
5928,ask agent could modify shipping address please,change_shipping_address,medium_priority
5929,would like reimbursement help request one,get_refund,standard_priority
5930,want view delivery options,delivery_options,standard_priority
5931,forgot password recover,recover_password,standard_priority
5932,could u ask agent could obtain fucking refund,get_refund,high_priority
5933,could get refund money,get_refund,standard_priority
5934,need assistance check status refund,track_refund,standard_priority
5935,want modify purchase,change_order,medium_priority
5936,buy several item,place_order,medium_priority
5937,switch another account,switch_account,medium_priority
5938,issue trying pay online order,payment_issue,high_priority
5939,want check payment methods available,check_payment_methods,medium_priority
5940,card declined,payment_issue,standard_priority
5941,lost account password reset,recover_password,high_priority
5942,long refunds usually take,check_refund_policy,standard_priority
5943,know edit user information,edit_account,high_priority
5944,create account,create_account,medium_priority
5945,want make opinion help,review,standard_priority
5946,u give information email contact customer service please,contact_customer_service,high_priority
5947,game postponed obtain reimbursement,get_refund,standard_priority
5948,purchased something help modify purchase,change_order,medium_priority
5949,check time contact customer service,contact_customer_service,standard_priority
5950,problem trying pay card need help notifying,payment_issue,standard_priority
5951,want information contact customer support,contact_customer_service,high_priority
5952,understand contact human agent,contact_human_agent,standard_priority
5953,error message pops try make payment order help,payment_issue,standard_priority
5954,tell one online account,create_account,standard_priority
5955,want assistance leaving review service,review,medium_priority
5956,tell check packages,track_order,medium_priority
5957,got error attempted make payment card charged anyway report,payment_issue,standard_priority
5958,notify issue paying,payment_issue,medium_priority
5959,check status order,track_order,medium_priority
5960,need online account create one,create_account,standard_priority
5961,know take quick look invoice,check_invoice,standard_priority
5962,youre helping wan na speak human,contact_human_agent,high_priority
5963,wan na check invoices could u help,check_invoices,high_priority
5964,please ask agent show information fucking money back policy,check_refund_policy,medium_priority
5965,need information contact custgomer servic,contact_customer_service,standard_priority
5966,problem access key reset,recover_password,high_priority
5967,know check money back policy,check_refund_policy,standard_priority
5968,receive bills check,check_invoices,standard_priority
5969,switch new goddamn user profile,switch_account,medium_priority
5970,need check allowed payment methods,check_payment_methods,standard_priority
5971,u ask agent inform payment problems,payment_issue,high_priority
5972,wan na report problem payment,payment_issue,high_priority
5973,want contact human gaent,contact_human_agent,medium_priority
5974,arent helping contact human,contact_human_agent,high_priority
5975,tell email address cutomer support,contact_customer_service,medium_priority
5976,got error attempted make payment card charged anyway need help reporting,payment_issue,standard_priority
5977,notify problem making payment,payment_issue,medium_priority
5978,got profile create one,create_account,standard_priority
5979,notify problem payment,payment_issue,standard_priority
5980,need assistance submit feedback company,review,medium_priority
5981,know set another shipping address,set_up_shipping_address,standard_priority
5982,know get money back,get_refund,standard_priority
5983,wan na know register two online accounts single email address,create_account,high_priority
5984,youre helping speak human agent,contact_human_agent,medium_priority
5985,got account want open one,create_account,standard_priority
5986,get error message try make payment online order help,payment_issue,standard_priority
5987,contact somebody,contact_human_agent,high_priority
5988,create profile,create_account,medium_priority
5989,tell register two user accounts email address,create_account,high_priority
5990,question wan na call customer service,contact_customer_service,high_priority
5991,tell number customer service,contact_customer_service,medium_priority
5992,ive got user account opdn one,create_account,high_priority
5993,got error message tried pay card charged anyway notify,payment_issue,high_priority
5994,problem paying help report,payment_issue,standard_priority
5995,ca find invoices view,check_invoices,standard_priority
5996,tell money back guarantee,check_refund_policy,medium_priority
5997,track orders,track_order,medium_priority
5998,problem paying card help,payment_issue,standard_priority
5999,want make complaint company,complaint,standard_priority
6000,register one online account single email,create_account,medium_priority
6001,bought item modify order,change_order,standard_priority
6002,need help inform signup problem,registration_problems,medium_priority
6003,request bill,get_invoice,medium_priority
6004,getting refund,get_refund,medium_priority
6005,issue trying make payment notify,payment_issue,standard_priority
6006,ask agent solve problems payment please,payment_issue,medium_priority
6007,want account help,create_account,standard_priority
6008,help switch user,switch_account,medium_priority
6009,want assistance speak someone,contact_human_agent,medium_priority
6010,ca recover password,recover_password,standard_priority
6011,know get refund,get_refund,standard_priority
6012,made mistake change order,change_order,high_priority
6013,helping contact human,contact_human_agent,standard_priority
6014,need assistance filing complaint,complaint,medium_priority
6015,like user account open one,create_account,medium_priority
6016,issue trying pay report,payment_issue,standard_priority
6017,change shipping address,change_shipping_address,medium_priority
6018,inform issues making payment,payment_issue,medium_priority
6019,want make review service,review,standard_priority
6020,expect refund money,get_refund,standard_priority
6021,want know track package,track_order,medium_priority
6022,want see status reimbursement,track_refund,standard_priority
6023,want account need help creating one,create_account,standard_priority
6024,would possible submit feedback,review,medium_priority
6025,contact client service,contact_customer_service,medium_priority
6026,get invoices last month,get_invoice,standard_priority
6027,tell free phone number client service,contact_customer_service,medium_priority
6028,fees breaking contract,check_cancellation_fee,medium_priority
6029,check long delivery takes,delivery_period,standard_priority
6030,help checking payment methods accept,check_payment_methods,medium_priority
6031,happy service want make consumer complaint,complaint,standard_priority
6032,ask agent close online account please,delete_account,medium_priority
6033,want information want talk customer service,contact_customer_service,standard_priority
6034,changed mind want close online account,delete_account,standard_priority
6035,need information talk customer support,contact_customer_service,standard_priority
6036,file complaint business,complaint,medium_priority
6037,dont understand need help speaking human agent,contact_human_agent,high_priority
6038,find information user account deletions,delete_account,medium_priority
6039,could check status refund,track_refund,standard_priority
6040,use different profile,switch_account,medium_priority
6041,know switch user,switch_account,standard_priority
6042,ordered product modify purchase,change_order,high_priority
6043,help receive refund,get_refund,medium_priority
6044,understand contact human agent,contact_human_agent,standard_priority
6045,probelm paying order inform,payment_issue,standard_priority
6046,check refund policy,check_refund_policy,standard_priority
6047,see time contact customer assistance,contact_customer_service,high_priority
6048,check payment methods accept,check_payment_methods,medium_priority
6049,ca understand contact someone,contact_human_agent,standard_priority
6050,want knolw change order,change_order,high_priority
6051,want remove online account,delete_account,high_priority
6052,get refund,get_refund,medium_priority
6053,understand like contact person,contact_human_agent,standard_priority
6054,track refund,track_refund,standard_priority
6055,tell free number contact client service,contact_customer_service,medium_priority
6056,need check hours contact customer service,contact_customer_service,medium_priority
6057,want modify information profile,edit_account,standard_priority
6058,purchased something change order,change_order,standard_priority
6059,question helpo contact client service,contact_customer_service,medium_priority
6060,help write review service,review,medium_priority
6061,problem trying pay online order help notify,payment_issue,standard_priority
6062,user account hacked help,recover_password,standard_priority
6063,notify issue making payment,payment_issue,medium_priority
6064,want assistance canceling subscription ur newsletter,newsletter_subscription,medium_priority
6065,ask agent remove online account,delete_account,medium_priority
6066,changed mind close profile,delete_account,standard_priority
6067,ordered item modify order,change_order,standard_priority
6068,possible submit feedback services,review,medium_priority
6069,help check cancellation fees,check_cancellation_fee,medium_priority
6070,like use profile switch,switch_account,standard_priority
6071,want online account remove,delete_account,standard_priority
6072,remove account,delete_account,medium_priority
6073,like download fucking bills give information please,get_invoice,high_priority
6074,need assistance changing several items order,change_order,medium_priority
6075,want know nodify order,change_order,high_priority
6076,want ifle comment,review,standard_priority
6077,ca pay last order made,cancel_order,standard_priority
6078,forgot password reset,recover_password,medium_priority
6079,wan na know receive newsletter,newsletter_subscription,high_priority
6080,please could u ask agent speak fucking customer service,contact_customer_service,medium_priority
6081,change purchase,change_order,medium_priority
6082,know close gold account,delete_account,standard_priority
6083,need help recovering account password,recover_password,high_priority
6084,try talk customer support,contact_customer_service,high_priority
6085,report payment issues,payment_issue,medium_priority
6086,assistance checking status refund,track_refund,medium_priority
6087,number customer service,contact_customer_service,medium_priority
6088,ca check money back policy,check_refund_policy,standard_priority
6089,help subscribe company newsletter,newsletter_subscription,medium_priority
6090,track order,track_order,high_priority
6091,help lodge claim organization,complaint,medium_priority
6092,please ask agent pay master card,check_payment_methods,medium_priority
6093,show cases ask refunded,check_refund_policy,standard_priority
6094,please mind asking agent fucking shipment delivery,track_order,standard_priority
6095,know could set new shipping address,set_up_shipping_address,standard_priority
6096,game postponed,get_refund,standard_priority
6097,ca understand talk human,contact_human_agent,standard_priority
6098,account hacked recover,recover_password,standard_priority
6099,u ask agent register,create_account,high_priority
6100,u ask agent get invoices,get_invoice,high_priority
6101,want contact human,contact_human_agent,medium_priority
6102,ask agent inform issues apyment please,payment_issue,medium_priority
6103,cant understand wan na speak fucking human agent please,contact_human_agent,high_priority
6104,tell free phone number customer service,contact_customer_service,medium_priority
6105,got check item arrive,delivery_period,standard_priority
6106,transfer declined,payment_issue,high_priority
6107,got error attempted make payment charged anyway notify,payment_issue,standard_priority
6108,tell pay master card,check_payment_methods,standard_priority
6109,concert postponed request reimbursement,get_refund,standard_priority
6110,get information forgotten password,recover_password,medium_priority
6111,need update personal details,edit_account,standard_priority
6112,want inform payment problem,payment_issue,high_priority
6113,got error attempted make payment charged anyway inform,payment_issue,standard_priority
6114,problem making payment,payment_issue,high_priority
6115,close online account,delete_account,medium_priority
6116,dont account open one,create_account,high_priority
6117,show mail client service,contact_customer_service,medium_priority
6118,notify problem paying,payment_issue,high_priority
6119,got error tried make payment card charged anyway would like report,payment_issue,standard_priority
6120,want user account help open one,create_account,medium_priority
6121,inform issues making payment,payment_issue,medium_priority
6122,cancelling subscription company newsletter,newsletter_subscription,medium_priority
6123,need assistance delete account,delete_account,medium_priority
6124,shipment way,track_order,medium_priority
6125,mind asking agent could obtain bills please,get_invoice,standard_priority
6126,leave review company,review,medium_priority
6127,want information delivery period,delivery_period,medium_priority
6128,know check refund status,track_refund,standard_priority
6129,change another account,switch_account,medium_priority
6130,help check status refund,track_refund,medium_priority
6131,someone stole password reset,recover_password,high_priority
6132,problem trying pay card notify,payment_issue,high_priority
6133,report issues paying,payment_issue,medium_priority
6134,see money back guarantee,check_refund_policy,high_priority
6135,dont want fucking profile could close,delete_account,high_priority
6136,want information help call customer service,contact_customer_service,medium_priority
6137,issues signing,registration_problems,medium_priority
6138,want know phone number customer service,contact_customer_service,high_priority
6139,want use user account switch,switch_account,high_priority
6140,show options delivery,delivery_options,medium_priority
6141,trying get money back,get_refund,standard_priority
6142,please ask agent could notify fucking payment problems,payment_issue,medium_priority
6143,helping talk human agent,contact_human_agent,standard_priority
6144,question contact customer support,contact_customer_service,standard_priority
6145,file complaint,complaint,medium_priority
6146,ca understand help contact someone,contact_human_agent,standard_priority
6147,could help report payment issues,payment_issue,medium_priority
6148,want cancel purchase,cancel_order,standard_priority
6149,wan na check order tell,track_order,standard_priority
6150,please ask agent lodge complaint,complaint,medium_priority
6151,lost invoice want view,check_invoices,high_priority
6152,assistance check item going arrive,delivery_period,medium_priority
6153,want assistance seeing withdrawal fee,check_cancellation_fee,medium_priority
6154,online account create one,create_account,standard_priority
6155,information u tell seeing bills,get_invoice,high_priority
6156,could subscribe ur company newsletter,newsletter_subscription,high_priority
6157,call get invoice,get_invoice,standard_priority
6158,havent got user account u open one,create_account,high_priority
6159,please u ask agent could get fucking invoice,get_invoice,high_priority
6160,could u ask agent could inform fucking payment problem,payment_issue,high_priority
6161,u show email address contact customer support,contact_customer_service,high_priority
6162,online account create one,create_account,high_priority
6163,concert cancelled get refund,get_refund,standard_priority
6164,got error attempted pay charged anyway report,payment_issue,standard_priority
6165,happy service help lodge opinion,review,standard_priority
6166,got user account want register,create_account,standard_priority
6167,changed mind delete profile,delete_account,high_priority
6168,call get invoices,get_invoice,standard_priority
6169,help remove something order,change_order,medium_priority
6170,show cancelled request reimbursement,get_refund,standard_priority
6171,inform payment issues,payment_issue,medium_priority
6172,want user account u help,create_account,high_priority
6173,want leave review,review,medium_priority
6174,ask agent check bills,check_invoices,medium_priority
6175,issue trying make payment card,payment_issue,standard_priority
6176,havent got account create one,create_account,high_priority
6177,u ask agent find information payment methods,check_payment_methods,high_priority
6178,tell request bills,get_invoice,medium_priority
6179,want assistance tracking order,track_order,medium_priority
6180,receive invoices see,check_invoices,standard_priority
6181,ca understand talk someone,contact_human_agent,standard_priority
6182,want use account change,switch_account,standard_priority
6183,error pops try pay card,payment_issue,standard_priority
6184,want use mmy user account change,switch_account,high_priority
6185,helping talk human,contact_human_agent,standard_priority
6186,help track pyrchase,track_order,medium_priority
6187,ask agent provide information invoice,check_invoices,medium_priority
6188,trying talk customer support,contact_customer_service,medium_priority
6189,lost invoice check,check_invoices,standard_priority
6190,show postponed obtain reimbursement,get_refund,standard_priority
6191,want view refund policy,check_refund_policy,standard_priority
6192,error message pops attempt pay online order,payment_issue,standard_priority
6193,could tell check order,track_order,medium_priority
6194,view cancellation penalty,check_cancellation_fee,high_priority
6195,canceling subscription company newsletter,newsletter_subscription,medium_priority
6196,erropr pops attempt pay card help,payment_issue,standard_priority
6197,check money back policy,check_refund_policy,medium_priority
6198,want check cancellation penalty u help,check_cancellation_fee,high_priority
6199,show postponed request refund,get_refund,standard_priority
6200,want track delivery tell,track_order,high_priority
6201,download bil,get_invoice,medium_priority
6202,u ask agent get reimbursement please,get_refund,high_priority
6203,want notify problems paymen,payment_issue,standard_priority
6204,want information ticket delivery options,delivery_options,high_priority
6205,u ask agent get bil,get_invoice,high_priority
6206,help deleting account,delete_account,medium_priority
6207,youre helping need help talking human agent,contact_human_agent,high_priority
6208,got error message tried pay card charged anyway report,payment_issue,high_priority
6209,could u ask agent give information fucking delivery options please,delivery_options,medium_priority
6210,could create user account,create_account,high_priority
6211,ask agent get reimbursement please,get_refund,high_priority
6212,need refund help get one,get_refund,standard_priority
6213,know check status refund,track_refund,standard_priority
6214,problem trying pay order,payment_issue,high_priority
6215,help check anything wrong refund,track_refund,standard_priority
6216,help solve problems paying,payment_issue,medium_priority
6217,please could tell register wto accounts email,create_account,high_priority
6218,got account open one,create_account,standard_priority
6219,show money back policy,check_refund_policy,medium_priority
6220,event cancelled,get_refund,high_priority
6221,need support signup,registration_problems,medium_priority
6222,help getting refund,get_refund,medium_priority
6223,made mistake modify purchase,change_order,standard_priority
6224,contact human,contact_human_agent,medium_priority
6225,possible track order,track_order,medium_priority
6226,problem trying pay order report,payment_issue,standard_priority
6227,get invoice last purchase,get_invoice,medium_priority
6228,cancel online account,delete_account,high_priority
6229,could u ask agent track fucking order,track_order,high_priority
6230,forgot account password recover,recover_password,high_priority
6231,show item arrive,delivery_period,medium_priority
6232,please ask agent notify issues paying,payment_issue,high_priority
6233,inform signup error,registration_problems,medium_priority
6234,could help delete account,delete_account,medium_priority
6235,could tell nkow fucking package please,track_order,standard_priority
6236,want check orders,track_order,high_priority
6237,need assistance canceling last order made,cancel_order,standard_priority
6238,got error tried pay charged anyway notify,payment_issue,standard_priority
6239,newsletter receive,newsletter_subscription,medium_priority
6240,give information bills,check_invoices,medium_priority
6241,need information email customer service,contact_customer_service,medium_priority
6242,found issues trying sign,registration_problems,medium_priority
6243,tell phone contact client service,contact_customer_service,medium_priority
6244,online account hacked recover,recover_password,medium_priority
6245,ask agent track orders,track_order,medium_priority
6246,u ask agent open online account,create_account,high_priority
6247,issue trying pay card,payment_issue,standard_priority
6248,see early termination fees,check_cancellation_fee,medium_priority
6249,want information need help contacting customer service,contact_customer_service,medium_priority
6250,want change details profile need help,edit_account,standard_priority
6251,know check invoices six months ago,check_invoice,standard_priority
6252,help check status refund,track_refund,standard_priority
6253,could give information cancelling orders,cancel_order,medium_priority
6254,could tell person available,contact_human_agent,medium_priority
6255,u ask agent obtain invoice,get_invoice,high_priority
6256,neeed help seeing cancellation fees,check_cancellation_fee,medium_priority
6257,tell tickets gon na arrive,delivery_period,standard_priority
6258,check status refund,track_refund,medium_priority
6259,check refund status,track_refund,medium_priority
6260,want user account could close,delete_account,standard_priority
6261,tell create two profiles single email,create_account,medium_priority
6262,know check money back policy,check_refund_policy,standard_priority
6263,got error message attempted pay card charged anyway notify,payment_issue,standard_priority
6264,issue paying order,payment_issue,standard_priority
6265,issue making payment card inform,payment_issue,standard_priority
6266,want information talk clientservice,contact_customer_service,standard_priority
6267,track refund,track_refund,medium_priority
6268,dont want profile help cancel,delete_account,high_priority
6269,lost password want retrieve,recover_password,standard_priority
6270,wan na talk human,contact_human_agent,high_priority
6271,need edit personal information,edit_account,medium_priority
6272,delete freemium account,delete_account,medium_priority
6273,check time contact customer service,contact_customer_service,medium_priority
6274,want see status reimbursement,track_refund,standard_priority
6275,need information call client service,contact_customer_service,high_priority
6276,issue trying make payment inform,payment_issue,standard_priority
6277,need help check status refund,track_refund,standard_priority
6278,want check bill,check_invoices,high_priority
6279,lost password want retrieve,recover_password,high_priority
6280,switch new user account,switch_account,medium_priority
6281,receive invooce view,check_invoices,standard_priority
6282,account open one,create_account,high_priority
6283,u ask agent solve problem paying,payment_issue,high_priority
6284,got online account,create_account,standard_priority
6285,u ask agent could make fucking order,place_order,high_priority
6286,help contact customer service,contact_customer_service,medium_priority
6287,u ask agent download invoices please,get_invoice,high_priority
6288,get ufll refund cancel ticket,check_refund_policy,standard_priority
6289,helping talk someone,contact_human_agent,standard_priority
6290,ask agent information downloading bill,get_invoice,medium_priority
6291,lost account password retrieve,recover_password,high_priority
6292,help check cases ask refunded,check_refund_policy,medium_priority
6293,view bills,check_invoices,medium_priority
6294,got see termination charge,check_cancellation_fee,standard_priority
6295,tell could obtain bill,get_invoice,medium_priority
6296,problem options delivery,delivery_options,standard_priority
6297,need leave review,review,standard_priority
6298,tell create two online accounts single email,create_account,high_priority
6299,want check long delivery takes,delivery_period,standard_priority
6300,know could check money back policy,check_refund_policy,standard_priority
6301,fucking game cancelled,get_refund,high_priority
6302,could check cancellation fees,check_cancellation_fee,medium_priority
6303,tne event postponed obtain reimbursement,get_refund,standard_priority
6304,help check ticket delivery options,delivery_options,medium_priority
6305,check hours contact customer service,contact_customer_service,medium_priority
6306,problem paying card notify,payment_issue,standard_priority
6307,issues registering,registration_problems,medium_priority
6308,know edit details included profile,edit_account,standard_priority
6309,free number client service,contact_customer_service,medium_priority
6310,want online account,delete_account,standard_priority
6311,got error tried pay card charged anyway,payment_issue,standard_priority
6312,help write review,review,medium_priority
6313,want use account need help switching,switch_account,standard_priority
6314,know track refund,track_refund,standard_priority
6315,arent helping u talk human,contact_human_agent,high_priority
6316,email address client service,contact_customer_service,medium_priority
6317,need refund obtain one,get_refund,standard_priority
6318,wan na notify problem paying,payment_issue,high_priority
6319,concert postponed,get_refund,standard_priority
6320,cam show information mail customer support,contact_customer_service,medium_priority
6321,need help getting invoices eleven months ago,get_invoice,standard_priority
6322,want reset account password,recover_password,standard_priority
6323,create another damn plus account,create_account,high_priority
6324,set another shipping address,set_up_shipping_address,medium_priority
6325,please ask agent ican see invoice,check_invoices,high_priority
6326,ordered something change order,change_order,standard_priority
6327,account hacked help recover,recover_password,standard_priority
6328,want assistance check status refund,track_refund,standard_priority
6329,user account,create_account,standard_priority
6330,wsnt know f create one fucking account single email,create_account,high_priority
6331,check ticket delivery options,delivery_options,medium_priority
6332,show hours contact customer service,contact_customer_service,medium_priority
6333,help check item arrive,delivery_period,medium_priority
6334,please ask aent inform issue payment,payment_issue,high_priority
6335,bought something modify fucking order,change_order,standard_priority
6336,u ask agent remove online account,delete_account,high_priority
6337,like see mail contact client service please,contact_customer_service,standard_priority
6338,want assistance make customer relcamation,complaint,medium_priority
6339,purchased product change order,change_order,standard_priority
6340,view cancellation penalty,check_cancellation_fee,medium_priority
6341,want see payment methods help,check_payment_methods,standard_priority
6342,want notify problem paying,payment_issue,standard_priority
6343,tell ifi get bills,get_invoice,medium_priority
6344,know cancel last order made,cancel_order,standard_priority
6345,ned refund request one,get_refund,high_priority
6346,could u ask agent set shipping address,set_up_shipping_address,high_priority
6347,tell track orders,track_order,medium_priority
6348,u helping contact someone,contact_human_agent,high_priority
6349,view status refund,track_refund,standard_priority
6350,call get invoices march,get_invoice,standard_priority
6351,get error message try pay,payment_issue,standard_priority
6352,need check delivery options,delivery_options,medium_priority
6353,want know delivery period,delivery_period,medium_priority
6354,receive invoice view,check_invoices,standard_priority
